id,user_id,date,category_id,account_id,amount,comment,change_balance_id,type,direction
"476","12","1694105128","38","217","416.00","стрижка",,"EXPENSE","DECREASE"
"477","12","1694191557","204","217","168.00","песок",,"EXPENSE","DECREASE"
"478","12","1694105547","39","217","165.00","",,"EXPENSE","DECREASE"
"480","12","1694192113","479","217","6000.00","",,"EXPENSE","DECREASE"
"481","12","1694278654","483","217","5900.00","Харьков ",,"EXPENSE","DECREASE"
"485","12","1694365533","40","217","522.00","",,"EXPENSE","DECREASE"
"486","12","1694452011","39","217","125.00","",,"EXPENSE","DECREASE"
"487","12","1694452059","40","217","222.00","врда",,"EXPENSE","DECREASE"
"488","12","1694538481","39","217","209.00","",,"EXPENSE","DECREASE"
"489","12","1694538494","204","217","165.00","паштеті",,"EXPENSE","DECREASE"
"490","12","1694452223","62","217","340.00","газ",,"EXPENSE","DECREASE"
"491","12","1694452223","62","217","340.00","газ",,"EXPENSE","DECREASE"
"492","12","1694452247","62","217","550.00","затішок",,"EXPENSE","DECREASE"
"493","12","1694452297","358","217","900.00","",,"EXPENSE","DECREASE"
"494","12","1694538719","16","217","69.00","гугл драйв",,"EXPENSE","DECREASE"
"528","12","1694538846","26","217","3000.00","",,"EXPENSE","DECREASE"
"532","12","1694551996","40","217","493.00","",,"EXPENSE","DECREASE"
"533","12","1694692455","38","217","400.00","Массаж ",,"EXPENSE","DECREASE"
"534","12","1694699492","205","217","332.00","Сыворотка",,"EXPENSE","DECREASE"
"535","12","1694764114","31","217","150.00","",,"EXPENSE","DECREASE"
"536","12","1694779750","530","217","15200.00","Аренда в Одессе ",,"EXPENSE","DECREASE"
"539","12","1694780432","445","217","850.00","Кошелек",,"EXPENSE","DECREASE"
"540","12","1694864048","35","217","810.00","",,"EXPENSE","DECREASE"
"541","12","1694983358","40","217","950.00","",,"EXPENSE","DECREASE"
"544","12","1694880395","31","217","145.00","",,"EXPENSE","DECREASE"
"545","12","1694966819","31","217","126.00","",,"EXPENSE","DECREASE"
"546","12","1694966836","39","217","215.00","",,"EXPENSE","DECREASE"
"547","12","1694966897","29","217","115.00","",,"EXPENSE","DECREASE"
"548","12","1694966939","29","217","190.00","",,"EXPENSE","DECREASE"
"549","12","1694966958","29","217","126.00","",,"EXPENSE","DECREASE"
"550","12","1694966977","39","217","163.00","",,"EXPENSE","DECREASE"
"551","12","1694966993","31","217","100.00","",,"EXPENSE","DECREASE"
"552","12","1695053567","39","217","200.00","",,"EXPENSE","DECREASE"
"553","12","1695053591","40","217","225.00","",,"EXPENSE","DECREASE"
"554","12","1695053605","40","217","722.00","",,"EXPENSE","DECREASE"
"555","12","1695053635","31","217","130.00","",,"EXPENSE","DECREASE"
"556","12","1695140050","29","217","248.00","",,"EXPENSE","DECREASE"
